RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,GWAP,
5/14/2026 2:05:00 PM,DIPC,5/14/2026 2:10:00 PM,CMIN,7423,
5/14/2026 2:05:00 PM,DIPC,5/14/2026 2:10:00 PM,CVIS,7423,
5/14/2026 2:05:00 PM,DIPC,5/14/2026 2:10:00 PM,CLUZ,7423,
5/14/2026 2:05:00 PM,DIPC,5/14/2026 2:10:00 PM,System,7423,
5/14/2026 2:05:00 PM,DIPC,5/14/2026 2:10:00 PM,CLUZ_CVIS,7423,
5/14/2026 2:00:00 PM,DIPC,5/14/2026 2:05:00 PM,CMIN,7423,
5/14/2026 2:00:00 PM,DIPC,5/14/2026 2:05:00 PM,CVIS,7423,
5/14/2026 2:00:00 PM,DIPC,5/14/2026 2:05:00 PM,CLUZ,7423,
5/14/2026 2:00:00 PM,DIPC,5/14/2026 2:05:00 PM,System,7423,
5/14/2026 2:00:00 PM,DIPC,5/14/2026 2:05:00 PM,CLUZ_CVIS,7423,
5/14/2026 1:55:00 PM,DIPC,5/14/2026 2:00:00 PM,CMIN,7423,
5/14/2026 1:55:00 PM,DIPC,5/14/2026 2:00:00 PM,CVIS,7423,
5/14/2026 1:55:00 PM,DIPC,5/14/2026 2:00:00 PM,CLUZ,7423,
5/14/2026 1:55:00 PM,DIPC,5/14/2026 2:00:00 PM,System,7423,
5/14/2026 1:55:00 PM,DIPC,5/14/2026 2:00:00 PM,CLUZ_CVIS,7423,
5/14/2026 2:25:00 PM,DIPC,5/14/2026 2:30:00 PM,CMIN,0,
5/14/2026 2:25:00 PM,DIPC,5/14/2026 2:30:00 PM,CVIS,0,
5/14/2026 2:25:00 PM,DIPC,5/14/2026 2:30:00 PM,CLUZ,0,
5/14/2026 2:25:00 PM,DIPC,5/14/2026 2:30:00 PM,System,0,
5/14/2026 2:25:00 PM,DIPC,5/14/2026 2:30:00 PM,CLUZ_CVIS,0,
5/14/2026 2:20:00 PM,DIPC,5/14/2026 2:25:00 PM,CMIN,7423,
5/14/2026 2:20:00 PM,DIPC,5/14/2026 2:25:00 PM,CVIS,7423,
5/14/2026 2:20:00 PM,DIPC,5/14/2026 2:25:00 PM,CLUZ,7423,
5/14/2026 2:20:00 PM,DIPC,5/14/2026 2:25:00 PM,System,7423,
5/14/2026 2:20:00 PM,DIPC,5/14/2026 2:25:00 PM,CLUZ_CVIS,7423,
5/14/2026 2:15:00 PM,DIPC,5/14/2026 2:20:00 PM,CMIN,7423,
5/14/2026 2:15:00 PM,DIPC,5/14/2026 2:20:00 PM,CVIS,7423,
5/14/2026 2:15:00 PM,DIPC,5/14/2026 2:20:00 PM,CLUZ,7423,
5/14/2026 2:15:00 PM,DIPC,5/14/2026 2:20:00 PM,System,7423,
5/14/2026 2:15:00 PM,DIPC,5/14/2026 2:20:00 PM,CLUZ_CVIS,7423,
5/14/2026 2:10:00 PM,DIPC,5/14/2026 2:15:00 PM,CMIN,7423,
5/14/2026 2:10:00 PM,DIPC,5/14/2026 2:15:00 PM,CVIS,7423,
5/14/2026 2:10:00 PM,DIPC,5/14/2026 2:15:00 PM,CLUZ,7423,
5/14/2026 1:00:00 AM,DIPC,5/14/2026 1:05:00 AM,CMIN,32000,
5/14/2026 1:00:00 AM,DIPC,5/14/2026 1:05:00 AM,CVIS,32000,
5/14/2026 1:00:00 AM,DIPC,5/14/2026 1:05:00 AM,CLUZ,32000,
5/14/2026 1:00:00 AM,DIPC,5/14/2026 1:05:00 AM,System,32000,
5/14/2026 1:00:00 AM,DIPC,5/14/2026 1:05:00 AM,CLUZ_CVIS,32000,
5/14/2026 9:00:00 PM,DIPC,5/14/2026 9:05:00 PM,CMIN,23538.9321,
5/14/2026 9:00:00 PM,DIPC,5/14/2026 9:05:00 PM,CVIS,12467.5106,
5/14/2026 9:00:00 PM,DIPC,5/14/2026 9:05:00 PM,CLUZ,12173.4105,
5/14/2026 9:00:00 PM,DIPC,5/14/2026 9:05:00 PM,System,14143.2335,
5/14/2026 9:00:00 PM,DIPC,5/14/2026 9:05:00 PM,CLUZ_CVIS,12213.2150,
5/14/2026 7:25:00 PM,DIPC,5/14/2026 7:30:00 PM,CMIN,28324.0404,
5/14/2026 7:25:00 PM,DIPC,5/14/2026 7:30:00 PM,CVIS,12372.1115,
