TRADING_DAY_ID,TP_NAME,RESOURCE_NAME,MAXIMUM_CAPACITY,
20260420,KINGENE,09JIMDSL_U02,8.2,
20260420,LPEC,09LIBPOWR_G01,6,
20260420,KINGENE,09PANABNK_U01,7.5,
20260420,KINGENE,09PANABNK_U02,7.5,
20260420,FPEI,09SANGALI_BAT,20,
20260420,WMPC,09WMPC_U01,10,
20260420,WMPC,09WMPC_U02,10,
20260420,WMPC,09WMPC_U03,10,
20260420,WMPC,09WMPC_U04,10,
20260420,WMPC,09WMPC_U05,10,
20260420,WMPC,09WMPC_U06,10,
20260420,WMPC,09WMPC_U07,10,
20260420,WMPC,09WMPC_U08,10,
20260420,WMPC,09WMPC_U09,10,
20260420,WMPC,09WMPC_U10,10,
20260420,PSALMGMIN,10AGUS1_U01,35,
20260420,PSALMGMIN,10AGUS1_U02,35,
20260420,PSALMGMIN,10AGUS2_U01,60,
20260420,PSALMGMIN,10AGUS2_U02,60,
20260420,PSALMGMIN,10AGUS2_U03,60,
20260420,PSALMGMIN,10AGUS4_U01,52.7,
20260420,PSALMGMIN,10AGUS4_U02,52.7,
20260420,PSALMGMIN,10AGUS4_U03,52.7,
20260420,PSALMGMIN,10AGUS5_U01,27.5,
20260420,PSALMGMIN,10AGUS5_U02,27.5,
20260420,PSALMGMIN,10AGUS6_U01,34.5,
20260420,PSALMGMIN,10AGUS6_U02,34.5,
20260420,PSALMGMIN,10AGUS6_U03,50,
20260420,PSALMGMIN,10AGUS6_U04,40,
20260420,PSALMGMIN,10AGUS6_U05,43.8,
20260420,PSALMGMIN,10AGUS7_U01,26.1,
20260420,PSALMGMIN,10AGUS7_U02,25.3,
20260420,GNPKLCO,10GNPK_U01,138,
20260420,GNPKLCO,10GNPK_U02,138,
20260420,GNPKLCO,10GNPK_U03,138,
20260420,GNPKLCO,10GNPK_U04,138,
20260420,MPC,10IDP1_U01,4.9,
20260420,MPC,10IDP1_U02,4.9,
20260420,MPC,10IDP1_U03,4.9,
20260420,MPC,10IDP1_U04,4.9,
20260420,MPC,10IDP1_U05,4.8,
20260420,MPC,10IDP1_U06,4.8,
20260420,MPC,10IDP1_U07,5,
20260420,MPC,10IDP1_U08,4.9,
20260420,MPC,10IDP1_U09,4.8,
20260420,MPC,10IDP1_U10,5,
20260420,MPC,10IDP1_U11,4.9,
20260420,MPC,10IDP1_U12,4.9,
20260420,MPC,10IDP2_U01,5.9,
20260420,MPC,10IDP2_U02,5.6,
20260420,MPC,10IDP2_U03,6,
20260420,MPC,10IDP2_U04,5.6,
20260420,MPC,10IDP2_U05,5.6,
20260420,MPC,10IDP2_U06,5.9,
20260420,MPC,10IDP2_U07,5.7,
20260420,LIANGAN,10LIAN_G01,11.6,
20260420,MEGC,10MEGC_G01,12.8,
20260420,PPEI,10PPEI_U01,24.1,
20260420,CSCI,11CRYSSUG_G01,8,
20260420,FDC,11FDC_U01,135,
20260420,FDC,11FDC_U02,135,
20260420,FDC,11FDC_U03,135,
20260420,FGBPC,11FGBPC_G01,1.6,
20260420,UPSI,11JASA_BAT,20,
20260420,AGECO,11KBSOL_G01,8.2,
20260420,KINGENE,11KEGMAR_G01,7.5,
20260420,KIRASOL,11KIRAS_G01,10,
20260420,IBHPI,11MALADU_G01,9.9,
20260420,HEDBUK,11MANFOR_G01,45.6,
20260420,HEDBUK,11MANFOR_G02,27.2,
20260420,MINPOWCOR,11MINBAL_G01,150,
20260420,BUBUNAWAN,11MINBU_G01,6.2,
20260420,FDCGEC,11MISAMSOL_G01,18.7,
20260420,MINERGY,11MNCBLG_G01,8.8,
20260420,MINERGY,11MNRGY_G01,18,
20260420,MINERGY,11MNRGY_G02,25,
20260420,NBPC,11NBPC_G01,5,
20260420,PACERM1,11PACERM_G01,10.5,
20260420,PEAKBUK,11PKBUK_U01,5.2,
20260420,PEAKBUK,11PKBUK_U02,5.2,
20260420,PSALMGMIN,11PULA4_U01,75,
20260420,PSALMGMIN,11PULA4_U02,75,
20260420,PSALMGMIN,11PULA4_U03,75,
20260420,CABHC,11PULANAI_G01,18.2,
20260420,PSALMGMIN,11STEAG_U01,105,
20260420,PSALMGMIN,11STEAG_U02,105,
20260420,UPSI,11VILLA_BAT,20,
20260420,ASIGA,12ASIGA_G01,8.2,
20260420,KINGENE,12KEGGIN_G01,10.6,
20260420,KINGENE,12KEGTAN_G01,7.5,
20260420,APC,12LKMAINIT_G01,24.6,
20260420,NACSUR,12NACSUR_G01,10.4,
20260420,PEAKPOWER,12PKSFRA_U01,5.2,
20260420,PEAKPOWER,12PKSFRA_U02,5.2,
20260420,TMI,12TM2_U01,49,
20260420,TMI,12TM2_U02,49,
20260420,AAII,13AGUA_G01,2.1,
20260420,TSI,13DCPP_U01,151.4,
20260420,TSI,13DCPP_U02,150,
20260420,APDIGOS,13DIGSOL_G01,24,
20260420,EUROHYDRO,13EUROH_G01,3,
20260420,UPSI,13MACO_BAT,20,
20260420,SEDI,13MAGDBNK_U01,4.6,
20260420,SEDI,13MAGDBNK_U02,4.6,
20260420,SEDI,13MAGDBNK_U03,4.6,
20260420,UPSI,13MALITA_BAT,20,
20260420,SUPREMEPC,13MATIBNK_G01,10.9,
20260420,MPIDIGOS,13MPCDIG_G01,16.8,
20260420,SIBULAN,13SIBULAN_G01,52.2,
20260420,SMCPC,13SMC_U01,133.1,
20260420,SMCPC,13SMC_U02,135.7,
20260420,HEDCOR,13TALOM1_G01,1,
20260420,HEDCOR,13TALOM23_G01,3.4,
20260420,TMI,13TM1_U01,49,
20260420,TMI,13TM1_U02,48.7,
20260420,HTI2,13TUDAY2_G01,7.8,
20260420,EUROHYDRO,14ALMADA_G01,2.6,
20260420,ADGI,14ASTROSOL_G01,20,
20260420,BFI,14BIOGS_G01,12.4,
20260420,BFI,14BIOMS_U01,5.7,
20260420,CSCCI,14COTSUGR_G01,3.4,
20260420,GREENEEC,14GERBIO_G01,3,
20260420,LAMSAN,14LAMSAN_G01,13.5,
20260420,EUROHYDRO,14MARBEL_U01,.5,
20260420,EDCMIN,14MTAPO_U01,51.4,
20260420,PSALMGMIN,14MTAPO_U02,50.6,
20260420,EDCMIN,14MTAPO_U03,3.6,
20260420,NVVOGTSE1,14NVSOL_G01,5,
20260420,PSI,14PKPSOC_G01,34.9,
20260420,SEC,14SARANG_U01,122,
20260420,SEC,14SARANG_U02,122,
20260420,SHPC,14SIGHYDRO_G01,14.5,
20260420,SPGI,14SPGI_U01,6,
20260420,SUPREMEPC,14SUPKOR_G01,11.5,
RESOURCE_INACTIVE,,,,
01CASECN_G01,168,,,
03CADPI_G01,25,,,
06PAL1A_G01,105.3,,,
07BIDPP_G02,4.9,,,
07BIDPP_G03,4.7,,,
07BIDPP_G04,4.1,,,
07BIDPP_G05,4.1,,,
07BIDPP_G06,3.8,,,
07BIDPP_G07,4.1,,,
07BIDPP_G08,3.8,,,
07BIDPP_G09,3.2,,,
07BIDPP_G10,3.2,,,
07BIDPP_G11,4,,,
07BIDPP_G12,2.4,,,
07BIDPP_G13,3.3,,,
07BIDPP_G14,2.7,,,
07BIDPP_G15,3.9,,,
08COSMO_G01,5.7,,,
11PKBUK_G01,10.4,,,
13MAGDBNK_G01,13.8,,,
EOF
