TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,CLEARED_PRICE,
6/26/2026 10:25:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:25:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 10:25:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:25:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 10:30:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:30:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:30:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:30:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 10:30:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:30:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:30:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:30:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 10:35:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:35:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:35:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:35:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 10:35:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:35:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:35:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:35:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 10:35:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:35:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 10:40:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:40:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:40:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:40:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 10:40:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:40:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:40:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:40:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 10:40:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:40:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 10:45:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:45:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:45:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:45:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 10:45:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:45:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:45:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 10:45:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:45:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 10:45:00 AM,MINDANAO,14SARANG_U01,G,3904,
6/26/2026 10:45:00 AM,MINDANAO,14SARANG_U02,G,3860,
6/26/2026 10:45:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 10:45:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 10:45:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 10:45:00 AM,VISAYAS,05TPC_G02,G,4270,
6/26/2026 10:45:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 10:45:00 AM,VISAYAS,08PEDC_U02,G,4540,
6/26/2026 10:50:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:50:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:50:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:50:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 10:50:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:50:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:50:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 10:50:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 10:50:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:50:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 10:55:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 10:55:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 10:55:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 10:55:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 10:55:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 10:55:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 10:55:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 10:55:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 10:55:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:00:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 11:00:00 AM,LUZON,01AMBUK_U03,G,31850,
6/26/2026 11:00:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 11:00:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 11:00:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:00:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:00:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 11:00:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 11:00:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:00:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:05:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 11:05:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 11:05:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 11:05:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:05:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:05:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 11:05:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 11:05:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 11:05:00 AM,VISAYAS,05TPC_G02,G,4270,
6/26/2026 11:05:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 11:10:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 11:10:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 11:10:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 11:10:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:10:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:10:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 11:10:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 11:10:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:10:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:10:00 AM,MINDANAO,14SARANG_U01,G,3904,
6/26/2026 11:10:00 AM,MINDANAO,14SARANG_U02,G,3860,
6/26/2026 11:10:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 11:10:00 AM,VISAYAS,05CEDC_U02,G,4020,
6/26/2026 11:10:00 AM,VISAYAS,05CEDC_U03,G,4020,
6/26/2026 11:10:00 AM,VISAYAS,05TPC_G02,G,4270,
6/26/2026 11:10:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 11:10:00 AM,VISAYAS,08PEDC_U02,G,4540,
6/26/2026 11:15:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 11:15:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 11:15:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 11:15:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:15:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:15:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 11:15:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 11:15:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:15:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:20:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 11:20:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 11:20:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 11:20:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:20:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:20:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 11:20:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 11:20:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:20:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:25:00 AM,LUZON,01AMBUK_U02,G,31855,
6/26/2026 11:25:00 AM,LUZON,01BINGA_U02,G,31875,
6/26/2026 11:25:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 11:25:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:25:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:25:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 11:25:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:25:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:30:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:30:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:30:00 AM,LUZON,01MAGAT_U02,G,31895,
6/26/2026 11:30:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 11:30:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:30:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:35:00 AM,LUZON,01BINGA_U03,G,31870,
6/26/2026 11:35:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:35:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:35:00 AM,LUZON,01MAGAT_U04,G,31885,
6/26/2026 11:35:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:35:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:35:00 AM,MINDANAO,10GNPK_U04,G,3500,
6/26/2026 11:35:00 AM,MINDANAO,11STEAG_U01,G,3504.10,
6/26/2026 11:35:00 AM,MINDANAO,11STEAG_U02,G,3504.10,
