TRADING_DAY_ID,TP_NAME,RESOURCE_NAME,PRODUCT_TYPE,MAX_CAPACITY,
20260714,IASCO,04IASMOD_G02,RD,10,
20260714,IASCO,04IASMOD_G03,RD,15,
20260714,IASCO,04IASMOD_G03,DR,15,
20260714,IASCO,04IASMOD_G03,FR,15,
20260714,IASCO,04IASMOD_G03,RU,15,
20260714,IASCO,04IASMOD_G04,RD,10,
20260714,IASCO,04IASMOD_G04,DR,10,
20260714,IASCO,04IASMOD_G04,RU,10,
20260714,IASCO,04IASMOD_G04,FR,10,
20260714,IASCO,04IASMOD_G05,RD,15,
20260714,IASCO,04IASMOD_G05,RU,15,
20260714,IASCO,04IASMOD_G05,FR,15,
20260714,IASCO,04IASMOD_G05,DR,15,
20260714,IASCO,04IASMOD_G06,RD,10,
20260714,IASCO,04IASMOD_G06,RU,10,
20260714,IASCO,04IASMOD_G06,DR,10,
20260714,IASCO,04IASMOD_G06,FR,10,
20260714,UPSI,04ORMOC_BAT,FR,38.60,
20260714,EDC,04TONGO_BAT,RU,10,
20260714,EDC,04TONGO_BAT,FR,10,
20260714,EDC,04TONGO_BAT,RD,10,
20260714,TPC,05CARMENDPP_U01,DR,10,
20260714,TPC,05CARMENDPP_U02,DR,10,
20260714,TPC,05CARMENDPP_U03,DR,10,
20260714,CEBUEDC,05CEDC_U01,FR,13.50,
20260714,CEBUEDC,05CEDC_U01,RD,20,
20260714,CEBUEDC,05CEDC_U01,RU,20,
20260714,CEBUEDC,05CEDC_U02,RD,20,
20260714,CEBUEDC,05CEDC_U02,FR,13.50,
20260714,CEBUEDC,05CEDC_U02,RU,20,
20260714,CEBUEDC,05CEDC_U03,RU,20,
20260714,CEBUEDC,05CEDC_U03,RD,20,
20260714,CEBUEDC,05CEDC_U03,FR,13.50,
20260714,CPPC,05CPPC_U01,DR,6.50,
20260714,CPPC,05CPPC_U02,DR,6.50,
20260714,CPPC,05CPPC_U03,DR,6.50,
20260714,CPPC,05CPPC_U04,DR,6.50,
20260714,CPPC,05CPPC_U05,DR,6.50,
20260714,CPPC,05CPPC_U06,DR,6.50,
20260714,CPPC,05CPPC_U07,DR,6.50,
20260714,CPPC,05CPPC_U08,RD,5,
20260714,CPPC,05CPPC_U08,RU,5,
20260714,CPPC,05CPPC_U08,DR,6.50,
20260714,CPPC,05CPPC_U09,RD,5,
20260714,CPPC,05CPPC_U09,RU,5,
20260714,CPPC,05CPPC_U09,DR,6.50,
20260714,CPPC,05CPPC_U10,DR,6.50,
20260714,CPPC,05CPPC_U10,RD,5,
20260714,CPPC,05CPPC_U10,RU,5,
20260714,EAUC,05EAUC_U02,DR,11,
20260714,EAUC,05EAUC_U02,RD,5,
20260714,EAUC,05EAUC_U02,RU,5,
20260714,EAUC,05EAUC_U02,FR,5,
20260714,EAUC,05EAUC_U03,RD,5.50,
20260714,EAUC,05EAUC_U03,FR,5.10,
20260714,EAUC,05EAUC_U03,DR,11.50,
20260714,EAUC,05EAUC_U03,RU,5.50,
20260714,EAUC,05EAUC_U04,RU,5.50,
20260714,EAUC,05EAUC_U04,RD,5.50,
20260714,EAUC,05EAUC_U04,FR,5.40,
20260714,EAUC,05EAUC_U04,DR,11.50,
20260714,TVI,05THVI_U01,FR,30,
20260714,TVI,05THVI_U02,FR,30,
20260714,UPSI,05TOLEDO_BAT,RD,20,
20260714,UPSI,05TOLEDO_BAT,FR,19.30,
20260714,UPSI,05TOLEDO_BAT,RU,20,
20260714,TPC,05TPC_G02,RD,20,
20260714,TPC,05TPC_G02,FR,13.50,
20260714,TPC,05TPC_G02,RU,20,
20260714,CENPRI,06CENPRI_U01,DR,4.40,
20260714,CENPRI,06CENPRI_U02,DR,4.40,
