RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,PRICE,
7/1/2026 1:45:00 AM,RTD,7/1/2026 1:50:00 AM,CLUZ,Ru,22400,
7/1/2026 1:45:00 AM,RTD,7/1/2026 1:50:00 AM,CMIN,Ru,24999.85,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CVIS,Dr,1940,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CMIN,Dr,0,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CLUZ,Dr,2000.08,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CMIN,Fr,85,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CVIS,Fr,17000,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CLUZ,Fr,2400,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CVIS,Rd,19998,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CMIN,Rd,24999.85,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CLUZ,Rd,11594.68,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CVIS,Ru,19998,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CLUZ,Ru,550,
7/1/2026 1:50:00 AM,RTD,7/1/2026 1:55:00 AM,CMIN,Ru,24999.85,
7/1/2026 1:55:00 AM,RTD,7/1/2026 2:00:00 AM,CVIS,Dr,1940,
